"sex" "age" "period" "region" "cases" "pop" "outcome"
"393" 1 5 3 4 14 10058 "Incidence"
"394" 2 5 3 4 9 13770 "Incidence"
"395" 1 6 3 4 11 3665 "Incidence"
"396" 2 6 3 4 12 7657 "Incidence"
"397" 1 1 4 4 13 101498 "Incidence"
"398" 2 1 4 4 11 95667 "Incidence"
"399" 1 2 4 4 9 27087 "Incidence"
"400" 2 2 4 4 14 24800 "Incidence"
"401" 1 3 4 4 12 21432 "Incidence"
"402" 2 3 4 4 8 20334 "Incidence"
"403" 1 4 4 4 17 20001 "Incidence"
"404" 2 4 4 4 15 21100 "Incidence"
"405" 1 5 4 4 11 11044 "Incidence"
"406" 2 5 4 4 14 14568 "Incidence"
"407" 1 6 4 4 11 3954 "Incidence"
"408" 2 6 4 4 10 8417 "Incidence"
"409" 1 1 5 4 11 98240 "Incidence"
"410" 2 1 5 4 13 92402 "Incidence"
"411" 1 2 5 4 9 27337 "Incidence"
"412" 2 2 5 4 14 25371 "Incidence"
"413" 1 3 5 4 11 22455 "Incidence"
"414" 2 3 5 4 11 21150 "Incidence"
"415" 1 4 5 4 17 19582 "Incidence"
"416" 2 4 5 4 17 20596 "Incidence"
"417" 1 5 5 4 14 12044 "Incidence"
"418" 2 5 5 4 17 15584 "Incidence"
"419" 1 6 5 4 10 4288 "Incidence"
"420" 2 6 5 4 11 8971 "Incidence"
"421" 1 1 6 4 12 95162 "Incidence"
"422" 2 1 6 4 9 89182 "Incidence"
"423" 1 2 6 4 10 27557 "Incidence"
"424" 2 2 6 4 9 26013 "Incidence"
"425" 1 3 6 4 16 23881 "Incidence"
"426" 2 3 6 4 10 22368 "Incidence"
"427" 1 4 6 4 13 18822 "Incidence"
"428" 2 4 6 4 10 19690 "Incidence"
"429" 1 5 6 4 14 13052 "Incidence"
"430" 2 5 6 4 17 16680 "Incidence"
"431" 1 6 6 4 10 4626 "Incidence"
"432" 2 6 6 4 10 9463 "Incidence"
"433" 1 1 7 4 9 92403 "Incidence"
"434" 2 1 7 4 9 86297 "Incidence"
"435" 1 2 7 4 11 27902 "Incidence"
"436" 2 2 7 4 9 26682 "Incidence"
"437" 1 3 7 4 12 25020 "Incidence"
"438" 2 3 7 4 13 23356 "Incidence"
"439" 1 4 7 4 16 18303 "Incidence"
"440" 2 4 7 4 16 19008 "Incidence"
"441" 1 5 7 4 12 13929 "Incidence"
"442" 2 5 7 4 12 17617 "Incidence"
"443" 1 6 7 4 9 5033 "Incidence"
"444" 2 6 7 4 13 10082 "Incidence"
"445" 1 1 8 4 9 90691 "Incidence"
"446" 2 1 8 4 12 84407 "Incidence"
"447" 1 2 8 4 11 28613 "Incidence"
"448" 2 2 8 4 12 27439 "Incidence"
"449" 1 3 8 4 16 25290 "Incidence"
"450" 2 3 8 4 12 23684 "Incidence"
"451" 1 4 8 4 22 18478 "Incidence"
"452" 2 4 8 4 12 18939 "Incidence"
"453" 1 5 8 4 14 14417 "Incidence"
"454" 2 5 8 4 11 18090 "Incidence"
"455" 1 6 8 4 8 5629 "Incidence"
"456" 2 6 8 4 10 11110 "Incidence"
"457" 1 1 9 4 NA 88979 "Incidence"
"458" 2 1 9 4 NA 82517 "Incidence"
"459" 1 2 9 4 NA 29324 "Incidence"
"460" 2 2 9 4 NA 28196 "Incidence"
"461" 1 3 9 4 NA 25560 "Incidence"
"462" 2 3 9 4 NA 24012 "Incidence"
"463" 1 4 9 4 NA 18653 "Incidence"
"464" 2 4 9 4 NA 18870 "Incidence"
"465" 1 5 9 4 NA 14905 "Incidence"
"466" 2 5 9 4 NA 18563 "Incidence"
"467" 1 6 9 4 NA 6225 "Incidence"
"468" 2 6 9 4 NA 12138 "Incidence"
"469" 1 1 10 4 NA 88570 "Incidence"
"470" 2 1 10 4 NA 82070 "Incidence"
"471" 1 2 10 4 NA 29651 "Incidence"
"472" 2 2 10 4 NA 28372 "Incidence"
"473" 1 3 10 4 NA 25884 "Incidence"
"474" 2 3 10 4 NA 24611 "Incidence"
"475" 1 4 10 4 NA 19560 "Incidence"
"476" 2 4 10 4 NA 19625 "Incidence"
"477" 1 5 10 4 NA 14870 "Incidence"
"478" 2 5 10 4 NA 18279 "Incidence"
"479" 1 6 10 4 NA 6831 "Incidence"
"480" 2 6 10 4 NA 13034 "Incidence"
"481" 1 1 1 5 11 67749 "Incidence"
"482" 2 1 1 5 9 62814 "Incidence"
"483" 1 2 1 5 11 14811 "Incidence"
"484" 2 2 1 5 7 13664 "Incidence"
"485" 1 3 1 5 10 14171 "Incidence"
"486" 2 3 1 5 6 12911 "Incidence"
"487" 1 4 1 5 13 10516 "Incidence"
"488" 2 4 1 5 13 10852 "Incidence"
"489" 1 5 1 5 9 4858 "Incidence"
"490" 2 5 1 5 14 7186 "Incidence"
"491" 1 6 1 5 7 1901 "Incidence"
"492" 2 6 1 5 8 3734 "Incidence"
"493" 1 1 2 5 11 65061 "Incidence"
"494" 2 1 2 5 9 60449 "Incidence"
"495" 1 2 2 5 8 15284 "Incidence"
"496" 2 2 2 5 11 14024 "Incidence"
"497" 1 3 2 5 7 13675 "Incidence"
"498" 2 3 2 5 9 12528 "Incidence"
"499" 1 4 2 5 14 11312 "Incidence"
"500" 2 4 2 5 14 11448 "Incidence"
"501" 1 5 2 5 10 5125 "Incidence"
"502" 2 5 2 5 8 7445 "Incidence"
"503" 1 6 2 5 7 2074 "Incidence"
"504" 2 6 2 5 8 4122 "Incidence"
"505" 1 1 3 5 11 62739 "Incidence"
"506" 2 1 3 5 10 58392 "Incidence"
"507" 1 2 3 5 13 15614 "Incidence"
"508" 2 2 3 5 8 14212 "Incidence"
"509" 1 3 3 5 11 13253 "Incidence"
"510" 2 3 3 5 6 12338 "Incidence"
"511" 1 4 3 5 16 11830 "Incidence"
"512" 2 4 3 5 11 11839 "Incidence"
"513" 1 5 3 5 9 5688 "Incidence"
"514" 2 5 3 5 15 7818 "Incidence"
"515" 1 6 3 5 11 2183 "Incidence"
"516" 2 6 3 5 8 4504 "Incidence"
"517" 1 1 4 5 10 60417 "Incidence"
"518" 2 1 4 5 15 56335 "Incidence"
"519" 1 2 4 5 11 15944 "Incidence"
"520" 2 2 4 5 11 14400 "Incidence"
"521" 1 3 4 5 10 12831 "Incidence"
"522" 2 3 4 5 9 12148 "Incidence"
"523" 1 4 4 5 14 12348 "Incidence"
"524" 2 4 4 5 13 12230 "Incidence"
"525" 1 5 4 5 6 6251 "Incidence"
"526" 2 5 4 5 11 8191 "Incidence"
"527" 1 6 4 5 10 2292 "Incidence"
"528" 2 6 4 5 9 4886 "Incidence"
"529" 1 1 5 5 12 58442 "Incidence"
"530" 2 1 5 5 9 54428 "Incidence"
"531" 1 2 5 5 12 16212 "Incidence"
"532" 2 2 5 5 7 14726 "Incidence"
"533" 1 3 5 5 7 13226 "Incidence"
"534" 2 3 5 5 8 12501 "Incidence"
"535" 1 4 5 5 12 12191 "Incidence"
"536" 2 4 5 5 11 12011 "Incidence"
"537" 1 5 5 5 12 6916 "Incidence"
"538" 2 5 5 5 10 8827 "Incidence"
"539" 1 6 5 5 10 2429 "Incidence"
"540" 2 6 5 5 10 5206 "Incidence"
"541" 1 1 6 5 14 56562 "Incidence"
"542" 2 1 6 5 9 52598 "Incidence"
"543" 1 2 6 5 12 16468 "Incidence"
"544" 2 2 6 5 7 15098 "Incidence"
"545" 1 3 6 5 12 13874 "Incidence"
"546" 2 3 6 5 12 13051 "Incidence"
"547" 1 4 6 5 16 11827 "Incidence"
"548" 2 4 6 5 14 11581 "Incidence"
"549" 1 5 6 5 15 7626 "Incidence"
"550" 2 5 6 5 13 9559 "Incidence"
"551" 1 6 6 5 8 2577 "Incidence"
"552" 2 6 6 5 13 5482 "Incidence"
"553" 1 1 7 5 9 55105 "Incidence"
"554" 2 1 7 5 8 51063 "Incidence"
"555" 1 2 7 5 9 16748 "Incidence"
"556" 2 2 7 5 9 15476 "Incidence"
"557" 1 3 7 5 14 14454 "Incidence"
"558" 2 3 7 5 9 13505 "Incidence"
"559" 1 4 7 5 10 11499 "Incidence"
"560" 2 4 7 5 10 11258 "Incidence"
"561" 1 5 7 5 8 8262 "Incidence"
"562" 2 5 7 5 14 10157 "Incidence"
"563" 1 6 7 5 12 2776 "Incidence"
"564" 2 6 7 5 8 5829 "Incidence"
"565" 1 1 8 5 10 54782 "Incidence"
"566" 2 1 8 5 7 50411 "Incidence"
"567" 1 2 8 5 8 17126 "Incidence"
"568" 2 2 8 5 10 15838 "Incidence"
"569" 1 3 8 5 14 14780 "Incidence"
"570" 2 3 8 5 11 13706 "Incidence"
"571" 1 4 8 5 10 11353 "Incidence"
"572" 2 4 8 5 11 11248 "Incidence"
"573" 1 5 8 5 12 8726 "Incidence"
"574" 2 5 8 5 7 10400 "Incidence"
"575" 1 6 8 5 13 3151 "Incidence"
"576" 2 6 8 5 13 6334 "Incidence"
"577" 1 1 9 5 NA 54459 "Incidence"
